Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,KMeans_Cluster
35.0,1,31.0,8.0,5.0,29.0,2,2,897.0,2.0,1.0,2
47.0,0,17.0,17.0,3.0,13.0,2,1,638.0,24.0,1.0,3
65.0,1,8.0,28.0,5.0,0.0,1,2,747.0,23.0,1.0,2
49.0,1,14.0,12.0,1.0,3.0,2,2,710.42,13.0,0.0,2
46.0,1,36.0,22.0,0.0,7.0,2,0,689.08,12.0,0.0,1
20.0,0,58.0,8.0,1.0,19.0,2,0,509.23,8.0,0.0,3
48.0,1,18.0,23.0,4.0,12.0,2,2,942.54,10.0,0.0,2
46.0,1,19.0,19.0,1.0,19.0,1,0,969.31,4.0,0.0,1
34.0,0,23.0,11.0,1.0,6.0,1,2,538.33,14.0,0.0,3
65.0,0,9.0,12.0,9.0,3.0,0,1,550.5,1.0,1.0,0
33.0,0,19.0,25.0,0.0,7.0,0,0,939.26,7.0,0.0,3
43.0,0,20.0,21.0,7.0,17.0,2,0,301.76,17.0,1.0,0
32.0,0,15.0,28.0,1.0,10.0,2,2,509.14,1.0,0.0,3
25.0,0,49.0,30.0,2.0,20.0,1,2,680.18,14.0,0.0,3
32.0,0,52.0,15.0,2.0,12.0,1,0,962.21,14.0,0.0,3
44.0,0,30.0,15.0,6.0,6.0,2,2,277.0,30.0,1.0,0
46.0,1,40.0,21.0,0.0,13.0,2,0,832.0,22.0,0.0,1
40.0,1,7.0,4.0,4.0,19.0,1,2,838.66,14.0,0.0,2
37.0,0,58.0,15.0,3.0,7.0,1,2,684.0,16.0,1.0,3
55.0,0,22.0,8.0,8.0,21.0,2,1,645.0,20.0,1.0,0
52.0,1,12.0,1.0,9.0,1.0,0,1,717.03,25.0,1.0,0
36.0,0,2.0,30.0,6.0,1.0,2,0,231.0,27.0,1.0,0
38.0,1,32.0,19.0,2.0,3.0,1,2,697.35,2.0,0.0,2
63.0,0,23.0,11.0,7.0,18.0,1,0,646.66,7.0,1.0,0
19.0,1,45.0,28.0,3.0,19.0,0,2,909.0,29.0,1.0,2
50.0,1,52.0,17.0,0.0,24.0,1,0,579.0,16.0,1.0,1
44.0,0,43.0,17.0,3.0,10.0,1,2,644.55,3.0,0.0,3
65.0,1,58.0,14.0,3.0,27.0,1,1,898.0,18.0,1.0,2
55.0,0,49.0,4.0,5.0,26.0,1,2,974.0,7.0,1.0,3
63.0,1,41.0,4.0,7.0,13.0,2,0,274.12,27.0,1.0,0
31.0,1,45.0,18.0,3.0,19.0,0,0,500.99,2.0,0.0,1
45.0,0,54.0,19.0,4.0,13.0,1,1,586.0,29.0,1.0,0
48.0,1,9.0,26.0,1.0,8.0,0,2,927.04,26.0,0.0,2
31.0,1,8.0,18.0,3.0,5.0,1,0,703.51,28.0,0.0,1
24.0,1,38.0,21.0,1.0,14.0,1,0,682.76,18.0,0.0,1
54.0,0,16.0,3.0,1.0,25.0,2,1,783.0,20.0,1.0,3
35.0,1,48.0,2.0,1.0,10.0,2,1,714.0,12.0,1.0,2
61.0,1,11.0,24.0,4.0,8.0,2,2,162.0,2.0,1.0,0
19.0,1,44.0,21.0,0.0,12.0,1,2,955.8,11.0,0.0,2
57.0,1,39.0,1.0,4.0,10.0,1,2,389.0,3.0,1.0,2
50.0,1,9.0,16.0,5.0,20.0,0,0,822.18,10.0,0.0,1
37.0,1,28.0,19.0,6.0,20.0,0,0,560.0,15.0,1.0,1
48.0,1,33.0,15.0,4.0,6.0,1,0,712.02,17.0,0.0,1
45.0,0,15.0,7.0,4.0,23.0,2,0,466.0,10.0,1.0,0
46.0,1,19.0,10.0,3.0,20.0,1,0,688.26,15.0,0.0,1
26.0,1,1.0,28.0,6.0,5.0,0,1,629.82,7.0,1.0,1
60.0,1,56.0,19.0,3.0,30.0,0,1,153.18,5.0,1.0,0
43.0,0,9.0,25.0,1.0,13.0,1,2,697.68,11.0,0.0,3
37.0,0,56.0,8.0,1.0,13.0,0,2,790.59,10.0,0.0,3
58.0,0,56.0,3.0,7.0,16.0,0,0,704.0,4.0,1.0,0
45.0,1,48.0,11.0,2.0,15.0,0,2,745.15,3.0,0.0,2
50.0,1,7.0,13.0,0.0,19.0,1,1,668.0,10.0,1.0,1
52.0,1,4.0,14.0,6.0,19.0,1,2,766.13,20.0,1.0,0
28.0,0,53.0,19.0,5.0,19.0,2,1,348.0,14.0,1.0,0
44.0,0,9.0,10.0,9.0,15.0,0,2,334.0,9.0,1.0,0
57.0,0,59.0,27.0,7.0,3.0,2,0,525.0,30.0,1.0,0
57.0,1,37.0,21.0,0.0,3.0,1,2,320.07,25.0,1.0,2
20.0,1,14.0,15.0,2.0,6.0,0,2,738.83,22.0,0.0,2
50.0,1,36.0,20.0,2.0,20.0,1,2,994.73,2.0,0.0,2
39.0,1,54.0,21.0,2.0,3.0,1,0,722.27,10.0,0.0,1
48.0,0,11.0,26.0,7.0,13.0,1,0,167.0,17.0,1.0,0
24.0,1,38.0,17.0,9.0,5.0,0,0,840.0,25.0,1.0,1
31.0,0,50.0,8.0,3.0,16.0,1,0,698.9,12.0,0.0,3
60.0,1,10.0,7.0,4.0,12.0,1,1,176.0,2.0,1.0,0
30.0,0,52.0,19.0,8.0,6.0,0,2,153.0,6.0,1.0,0
46.0,0,21.0,4.0,10.0,3.0,1,0,597.0,9.0,1.0,0
41.0,1,1.0,27.0,4.0,8.0,1,2,892.47,13.0,0.0,2
33.0,0,58.0,6.0,1.0,5.0,0,0,133.09,5.0,1.0,3
38.0,1,5.0,14.0,2.0,6.0,2,1,568.49,13.0,1.0,1
23.0,0,53.0,30.0,10.0,3.0,0,1,447.0,21.0,1.0,0
50.0,0,22.0,21.0,0.0,11.0,2,2,598.47,1.0,0.0,3
34.0,1,22.0,3.0,4.0,9.0,1,2,219.29,1.0,1.0,2
24.0,1,35.0,24.0,1.0,21.0,2,2,462.0,5.0,1.0,2
62.0,1,45.0,8.0,4.0,4.0,2,0,734.0,14.0,1.0,1
32.0,0,18.0,14.0,5.0,15.0,0,0,552.0,27.0,1.0,0
44.0,0,13.0,9.0,9.0,1.0,0,0,587.0,7.0,1.0,3
25.0,1,35.0,30.0,7.0,12.0,1,2,855.0,13.0,1.0,2
50.0,0,39.0,20.0,0.0,8.0,0,2,755.46,3.0,0.0,3
28.0,0,54.0,16.0,0.0,30.0,1,1,156.0,21.0,1.0,0
46.0,0,5.0,8.0,0.0,26.0,0,1,902.0,20.0,1.0,3
43.0,0,36.0,26.0,2.0,14.0,2,1,335.0,25.0,1.0,0
29.0,0,29.0,16.0,1.0,9.0,0,0,949.06,7.0,0.0,3
58.0,0,60.0,20.0,9.0,12.0,0,0,693.0,10.0,1.0,0
34.0,1,56.0,12.0,1.0,6.0,0,0,673.2,12.0,0.0,1
20.0,1,5.0,4.0,0.0,27.0,2,0,553.0,4.0,1.0,1
47.0,1,14.0,1.0,5.0,25.0,1,0,661.96,12.0,1.0,1
43.0,1,34.0,8.0,8.0,23.0,1,1,417.0,1.0,1.0,0
49.0,1,6.0,15.0,2.0,11.0,1,0,912.09,26.0,0.0,1
60.0,1,52.0,17.0,10.0,22.0,0,2,997.0,28.0,1.0,0
40.0,0,46.0,22.0,8.0,18.0,0,0,539.0,16.0,1.0,0
29.0,0,17.0,15.0,6.0,13.0,0,1,301.0,15.0,1.0,0
50.0,1,28.0,15.0,9.0,21.0,0,0,669.0,28.0,1.0,0
33.0,1,53.0,15.0,0.0,19.0,2,2,667.05,20.0,0.0,2
46.0,1,43.0,11.0,1.0,17.0,1,0,844.96,17.0,0.0,1
37.0,1,40.0,11.0,2.0,14.0,0,0,827.9,4.0,0.0,1
39.0,1,29.0,17.0,0.0,20.0,0,0,848.79,28.0,0.0,1
18.0,0,13.0,12.0,5.0,8.0,2,0,971.96,3.0,1.0,3
57.0,1,50.0,15.0,7.0,27.0,0,1,163.0,10.0,1.0,0
37.0,0,9.0,30.0,2.0,24.0,0,1,806.0,3.0,1.0,3
32.0,0,44.0,14.0,9.0,10.0,1,0,452.0,5.0,1.0,0
31.0,1,15.0,28.0,2.0,14.0,1,2,574.72,14.0,0.0,2
38.0,1,40.0,22.0,3.0,20.0,0,2,794.16,9.0,0.0,2
35.0,1,51.0,14.0,1.0,14.0,2,0,755.85,15.0,0.0,1
29.0,1,50.0,28.0,0.0,16.0,1,0,579.67,25.0,0.0,1
32.0,1,52.0,7.0,1.0,10.0,2,2,749.68,28.0,0.0,2
47.0,0,13.0,15.0,1.0,1.0,1,0,647.97,13.0,0.0,3
43.0,0,15.0,23.0,1.0,2.0,0,0,715.47,7.0,0.0,3
53.0,0,17.0,1.0,9.0,28.0,0,1,321.0,22.0,1.0,0
47.0,0,37.0,27.0,1.0,12.0,2,2,386.0,27.0,1.0,3
40.0,1,22.0,27.0,0.0,8.0,1,0,562.41,15.0,0.0,1
44.0,0,19.0,27.0,2.0,7.0,0,2,970.55,14.0,0.0,3
42.0,0,32.0,10.0,8.0,28.0,0,1,450.0,7.0,1.0,0
61.0,0,29.0,14.0,8.0,8.0,1,0,927.0,11.0,1.0,3
28.0,1,10.0,10.0,5.0,26.0,1,2,596.0,23.0,1.0,2
41.0,1,10.0,30.0,2.0,13.0,1,2,595.75,7.0,0.0,2
59.0,0,20.0,6.0,10.0,2.0,1,1,783.54,27.0,1.0,0
61.0,0,6.0,25.0,0.0,14.0,1,0,699.0,6.0,1.0,3
23.0,1,54.0,21.0,1.0,3.0,0,2,933.91,13.0,0.0,2
29.0,1,21.0,18.0,0.0,2.0,1,2,547.71,7.0,0.0,2
43.0,0,32.0,7.0,2.0,13.0,2,0,514.0,6.0,0.0,3
57.0,0,16.0,12.0,0.0,17.0,1,2,978.0,19.0,1.0,3
54.0,1,24.0,7.0,3.0,13.0,2,0,659.0,24.0,1.0,1
35.0,0,10.0,25.0,1.0,9.0,1,2,972.2,1.0,0.0,3
19.0,1,13.0,10.0,9.0,16.0,1,0,580.0,30.0,1.0,0
59.0,0,24.0,18.0,8.0,0.0,0,2,770.11,19.0,1.0,0
49.0,0,56.0,4.0,4.0,6.0,2,2,771.0,24.0,1.0,3
23.0,0,5.0,2.0,3.0,3.0,0,1,498.74,14.0,1.0,3
43.0,1,18.0,14.0,7.0,6.0,1,1,891.18,27.0,1.0,1
43.0,0,5.0,4.0,4.0,2.0,1,0,758.84,7.0,0.0,3
20.0,0,31.0,19.0,8.0,26.0,1,2,799.0,24.0,1.0,0
20.0,1,38.0,5.0,3.0,30.0,0,1,302.0,19.0,1.0,0
65.0,0,45.0,13.0,0.0,16.0,0,2,964.0,25.0,1.0,3
42.0,0,24.0,21.0,8.0,24.0,0,0,503.85,17.0,1.0,0
33.0,1,54.0,30.0,8.0,25.0,1,1,455.0,13.0,1.0,0
52.0,1,52.0,14.0,1.0,16.0,0,0,375.0,29.0,1.0,1
24.0,0,34.0,2.0,2.0,20.0,0,0,752.2,4.0,0.0,3
30.0,0,33.0,26.0,0.0,0.0,0,0,916.57,1.0,0.0,3
35.0,0,21.0,28.0,0.0,8.0,1,2,774.3,14.0,0.0,3
23.0,0,23.0,27.0,2.0,1.0,1,2,626.47,12.0,0.0,3
27.0,0,18.0,11.0,0.0,18.0,2,0,938.23,10.0,0.0,3
19.0,0,11.0,21.0,6.0,22.0,2,0,305.0,5.0,1.0,0
18.0,0,14.0,13.0,2.0,16.0,2,1,766.0,17.0,1.0,3
22.0,1,57.0,9.0,3.0,25.0,1,1,125.0,3.0,1.0,0
36.0,1,28.0,17.0,0.0,18.0,0,2,506.09,18.0,0.0,2
28.0,0,45.0,22.0,0.0,6.0,1,0,751.6,5.0,0.0,3
48.0,1,58.0,10.0,2.0,15.0,1,2,663.04,19.0,0.0,2
33.0,0,24.0,19.0,1.0,15.0,1,0,606.94,14.0,0.0,3
49.0,0,8.0,11.0,1.0,20.0,0,0,739.91,10.0,0.0,3
61.0,1,23.0,6.0,8.0,17.0,2,0,514.0,20.0,1.0,0
48.0,1,57.0,19.0,3.0,15.0,0,0,861.15,24.0,0.0,1
36.0,1,59.0,2.0,0.0,14.0,0,0,654.81,4.0,0.0,1
50.0,1,8.0,26.0,2.0,17.0,2,0,985.35,21.0,0.0,1
23.0,1,38.0,24.0,3.0,2.0,2,2,896.0,16.0,1.0,2
49.0,1,35.0,20.0,1.0,1.0,2,0,534.81,20.0,0.0,1
49.0,1,25.0,24.0,3.0,18.0,1,0,736.04,28.0,0.0,1
43.0,1,34.0,9.0,0.0,19.0,1,2,990.77,25.0,0.0,2
64.0,0,28.0,1.0,2.0,9.0,2,0,979.0,3.0,1.0,3
35.0,1,1.0,26.0,2.0,23.0,1,2,956.22,20.0,1.0,2
50.0,1,47.0,21.0,2.0,9.0,2,0,810.22,10.0,0.0,1
45.0,1,43.0,15.0,1.0,10.0,1,1,271.0,8.0,1.0,2
51.0,1,51.0,13.0,10.0,14.0,1,2,729.0,10.0,1.0,0
32.0,1,33.0,20.0,1.0,0.0,2,2,864.17,16.0,0.0,2
45.0,1,21.0,13.0,0.0,9.0,1,0,767.13,1.0,0.0,1
34.0,0,17.0,2.0,3.0,27.0,0,1,769.0,4.0,1.0,3
30.0,0,39.0,5.0,5.0,8.0,1,0,399.0,3.0,1.0,3
33.0,1,50.0,9.0,0.0,15.0,1,2,805.57,29.0,0.0,2
58.0,0,15.0,27.0,5.0,3.0,0,0,217.0,8.0,1.0,0
27.0,1,33.0,12.0,5.0,1.0,0,1,973.0,20.0,1.0,2
64.0,0,2.0,24.0,3.0,5.0,0,1,527.0,10.0,1.0,3
25.0,0,51.0,9.0,8.0,12.0,2,1,170.0,10.0,1.0,0
49.0,0,49.0,25.0,0.0,8.0,1,0,646.83,5.0,0.0,3
49.0,0,58.0,21.0,0.0,12.0,0,2,923.23,3.0,0.0,3
43.0,1,43.0,22.0,5.0,4.0,1,2,601.0,8.0,1.0,2
38.0,0,9.0,15.0,2.0,16.0,0,2,986.86,14.0,0.0,3
50.0,0,17.0,13.0,0.0,5.0,1,2,739.31,5.0,0.0,3
41.0,1,21.0,18.0,4.0,17.0,1,2,872.79,24.0,0.0,2
37.0,1,39.0,3.0,1.0,12.0,1,0,838.75,3.0,0.0,1
36.0,1,22.0,24.0,8.0,16.0,2,0,170.0,20.0,1.0,0
37.0,0,53.0,30.0,2.0,19.0,2,0,277.0,8.0,1.0,3
37.0,0,43.0,12.0,8.0,26.0,1,0,365.0,18.0,1.0,0
43.0,1,21.0,1.0,9.0,24.0,1,1,835.89,25.0,1.0,0
28.0,1,25.0,3.0,2.0,13.0,1,0,753.53,8.0,0.0,1
27.0,1,27.0,4.0,0.0,19.0,0,2,238.0,28.0,1.0,2
53.0,1,26.0,19.0,6.0,27.0,0,1,921.0,6.0,1.0,0
18.0,0,45.0,12.0,0.0,0.0,1,0,949.53,7.0,0.0,3
29.0,1,51.0,9.0,9.0,8.0,2,1,912.76,5.0,1.0,2
40.0,1,31.0,30.0,4.0,15.0,1,2,958.76,25.0,0.0,2
37.0,1,18.0,27.0,1.0,3.0,2,2,703.53,25.0,0.0,2
26.0,1,57.0,22.0,9.0,16.0,0,2,924.0,22.0,1.0,2
38.0,0,46.0,17.0,6.0,6.0,1,0,144.59,19.0,1.0,0
60.0,0,41.0,16.0,3.0,12.0,0,1,640.0,15.0,1.0,3
65.0,1,17.0,27.0,6.0,29.0,1,0,878.0,28.0,1.0,0
40.0,1,26.0,23.0,7.0,26.0,2,0,253.0,9.0,1.0,0
50.0,1,53.0,4.0,2.0,19.0,2,0,878.11,27.0,0.0,1
46.0,0,10.0,26.0,0.0,9.0,0,2,963.6,11.0,0.0,3
45.0,0,4.0,5.0,4.0,11.0,1,0,901.05,10.0,0.0,3
48.0,1,57.0,20.0,3.0,11.0,1,0,945.54,26.0,0.0,1
35.0,1,13.0,4.0,10.0,21.0,0,2,776.0,25.0,1.0,0
56.0,1,40.0,26.0,10.0,29.0,0,1,106.93,10.0,1.0,0
18.0,0,21.0,20.0,2.0,7.0,0,2,162.0,22.0,1.0,3
47.0,1,49.0,9.0,3.0,20.0,2,2,855.86,23.0,0.0,2
58.0,1,19.0,21.0,2.0,4.0,0,1,404.63,15.0,1.0,1
52.0,1,45.0,16.0,4.0,10.0,0,0,785.0,5.0,1.0,1
58.0,1,6.0,7.0,10.0,0.0,2,0,587.0,26.0,1.0,0
40.0,0,40.0,7.0,2.0,0.0,2,1,946.0,22.0,1.0,3
47.0,0,7.0,7.0,0.0,17.0,0,0,905.48,5.0,0.0,3
47.0,1,56.0,17.0,4.0,10.0,1,2,803.29,21.0,0.0,2
49.0,1,37.0,23.0,1.0,17.0,1,2,864.1,20.0,0.0,2
63.0,1,11.0,18.0,0.0,0.0,0,2,390.78,27.0,1.0,2
29.0,0,8.0,8.0,0.0,14.0,1,0,849.0,26.0,1.0,3
62.0,1,13.0,11.0,1.0,10.0,0,2,282.0,24.0,1.0,2
41.0,1,42.0,4.0,4.0,6.0,0,2,116.05,23.0,1.0,2
28.0,1,26.0,26.0,4.0,19.0,0,2,848.0,5.0,1.0,2
38.0,1,6.0,26.0,0.0,0.0,1,0,647.23,25.0,0.0,1
46.0,0,41.0,30.0,0.0,3.0,0,0,736.47,14.0,0.0,3
44.0,0,58.0,23.0,9.0,17.0,0,0,335.0,2.0,1.0,0
40.0,1,53.0,9.0,0.0,6.0,1,2,586.89,12.0,0.0,2
57.0,0,7.0,24.0,9.0,8.0,2,1,239.0,19.0,1.0,0
20.0,1,19.0,7.0,4.0,15.0,1,0,497.0,4.0,1.0,1
32.0,0,24.0,16.0,6.0,25.0,2,0,749.0,28.0,1.0,0
19.0,0,53.0,8.0,0.0,20.0,0,2,235.0,4.0,1.0,3
45.0,0,27.0,2.0,0.0,13.0,0,2,878.27,14.0,0.0,3
34.0,0,51.0,27.0,6.0,5.0,1,2,218.0,13.0,1.0,0
49.0,1,31.0,17.0,8.0,16.0,0,0,576.2,27.0,1.0,0
20.0,0,26.0,7.0,10.0,3.0,1,0,803.42,5.0,1.0,3
20.0,1,1.0,11.0,2.0,7.0,2,2,832.89,18.0,0.0,2
33.0,0,14.0,19.0,0.0,6.0,0,0,971.95,7.0,0.0,3
36.0,1,20.0,19.0,0.0,8.0,0,2,711.76,23.0,0.0,2
57.0,1,59.0,25.0,2.0,19.0,2,1,126.0,7.0,1.0,0
31.0,0,38.0,8.0,2.0,20.0,2,2,217.0,30.0,1.0,0
35.0,1,49.0,15.0,2.0,20.0,2,2,538.96,1.0,0.0,2
41.0,0,57.0,19.0,2.0,19.0,2,2,862.91,6.0,0.0,3
54.0,0,38.0,27.0,5.0,24.0,1,0,598.0,26.0,1.0,0
41.0,1,49.0,24.0,6.0,3.0,0,2,165.0,5.0,1.0,2
62.0,1,6.0,27.0,3.0,18.0,0,0,150.0,12.0,1.0,0
24.0,0,53.0,22.0,1.0,0.0,1,2,704.29,14.0,0.0,3
43.0,0,50.0,27.0,3.0,2.0,2,2,555.64,7.0,0.0,3
18.0,0,7.0,5.0,1.0,3.0,0,2,663.71,6.0,0.0,3
26.0,0,29.0,8.0,10.0,23.0,1,2,531.0,16.0,1.0,0
21.0,1,7.0,29.0,10.0,25.0,1,2,494.0,28.0,1.0,0
65.0,0,24.0,26.0,2.0,18.0,1,0,748.9,19.0,1.0,3
38.0,0,47.0,28.0,0.0,15.0,1,0,817.04,7.0,0.0,3
44.0,1,40.0,8.0,1.0,14.0,0,2,731.76,28.0,0.0,2
33.0,1,2.0,10.0,3.0,9.0,2,0,958.03,26.0,0.0,1
24.0,1,33.0,3.0,1.0,18.0,1,0,883.49,18.0,0.0,1
44.0,0,60.0,1.0,2.0,19.0,0,2,856.61,1.0,0.0,3
54.0,0,34.0,18.0,8.0,11.0,1,1,863.0,11.0,1.0,3
42.0,1,25.0,3.0,4.0,11.0,2,1,507.0,16.0,1.0,1
21.0,0,49.0,24.0,4.0,25.0,0,0,262.0,12.0,1.0,0
29.0,0,9.0,21.0,2.0,25.0,1,2,913.0,15.0,1.0,3
43.0,1,11.0,3.0,2.0,22.0,1,1,896.0,27.0,1.0,1
23.0,1,1.0,19.0,2.0,9.0,1,1,999.0,9.0,1.0,1
40.0,0,14.0,29.0,5.0,23.0,1,0,550.14,26.0,1.0,0
21.0,1,7.0,21.0,10.0,16.0,0,1,329.0,29.0,1.0,0
30.0,0,44.0,13.0,9.0,6.0,0,2,936.57,25.0,1.0,3
33.0,1,53.0,20.0,3.0,29.0,0,2,895.66,7.0,1.0,2
42.0,1,8.0,12.0,0.0,12.0,0,0,517.82,10.0,0.0,1
49.0,1,39.0,7.0,2.0,7.0,0,2,964.82,8.0,0.0,2
50.0,1,44.0,20.0,2.0,27.0,2,0,878.0,9.0,1.0,1
41.0,1,34.0,19.0,3.0,18.0,1,0,501.86,23.0,0.0,1
40.0,1,48.0,21.0,0.0,20.0,0,0,963.58,27.0,0.0,1
42.0,1,13.0,22.0,0.0,7.0,1,0,562.74,26.0,0.0,1
48.0,0,52.0,4.0,4.0,12.0,1,2,689.73,4.0,0.0,3
19.0,0,59.0,9.0,7.0,10.0,0,0,873.0,23.0,1.0,3
35.0,0,10.0,24.0,3.0,18.0,0,2,972.0,14.0,0.0,3
